f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
87.60741;83.59108;0.01141;0.00564;0.00267;1.00000;1.00000;94.30972;91.57833;106.39542;105.09863;108.52969;122.43767;122.43768;2.04937;-0.60759;141.39720;8.95478;-0.57079;11.70949;0.45472;0.03883;11.77113;657.84747;631.33264;622.99860;629.07300;19.18088;22.56009;35.67463;33.52391;19.96665;20.24889;0.61745;0.65872;37.51055;-14.50715;-2.96815;3.26397;3.04563;1.63982
89.90305;96.00614;0.01112;0.01129;0.00293;1.00000;1.00000;91.49715;88.26004;102.58517;101.36429;105.29305;118.05291;118.05292;1.85049;-0.89762;141.38902;8.84839;-0.53888;11.64420;0.43864;0.03767;12.50924;593.67145;568.49994;558.13776;562.59888;14.19194;20.89318;31.58503;29.53220;17.53357;17.71359;0.54404;0.60922;29.71994;-11.80334;4.93669;2.90227;2.78888;1.51328
71.59664;77.05347;0.01397;0.01144;0.00280;1.00000;1.00000;88.33635;85.12734;98.98227;98.12537;101.65566;113.90677;113.90677;1.69623;-0.75909;141.35545;7.54458;-0.57877;11.62808;0.42523;0.03657;14.06992;536.79089;516.65863;503.42102;508.25198;12.27854;17.62549;28.06421;26.46851;15.53881;15.76363;0.49847;0.54604;21.05969;-8.97840;3.77204;2.57391;2.53934;1.37230
85.90795;81.36696;0.01164;0.01221;0.00331;1.00000;1.00000;85.27575;82.42815;95.87214;95.43747;98.13358;110.32770;110.32770;1.84550;-0.31423;141.35889;5.45805;-0.49637;11.70760;0.43465;0.03713;10.11765;507.63669;494.57227;485.61172;488.91736;14.62735;15.75703;26.87126;25.82370;15.20900;15.37879;0.48728;0.50106;15.99080;-4.22761;-0.44652;2.34009;2.33554;1.24013
85.81444;80.42464;0.01165;0.01146;0.00368;1.00000;1.00000;82.63330;80.44747;93.58614;93.44776;95.09270;107.69701;107.69700;2.16231;-0.21359;141.36125;3.11604;-0.36560;11.75533;0.45816;0.03897;9.15872;502.82462;491.54926;491.24768;491.80292;16.88644;16.96147;27.46891;26.51274;15.93277;15.95056;0.48911;0.49510;17.51558;-2.58703;-0.98775;2.25833;2.23283;1.17354
78.56987;87.90435;0.01273;0.01351;0.00451;1.00000;1.00000;80.66959;79.29404;92.25218;92.24202;92.83291;106.16193;106.16192;2.45318;-0.50938;141.30231;0.85043;-0.32494;11.61064;0.48106;0.04143;9.04621;510.51529;495.79147;502.64883;501.39182;17.54320;19.83533;28.74393;27.43662;16.84971;16.74183;0.48775;0.52007;23.16909;-4.97534;1.19108;2.31184;2.21531;1.16625
76.86856;79.70668;0.01301;0.01242;0.00424;1.00000;1.00000;79.48685;78.95000;91.85106;91.82919;91.47184;105.70032;105.70032;2.61609;-0.91627;141.18013;-1.25045;-0.38547;11.55984;0.49494;0.04282;9.06546;522.91772;502.12457;511.52487;509.82678;17.22438;22.47478;29.96864;28.09718;17.45651;17.30369;0.48411;0.55544;30.87758;-10.11627;2.71141;2.48399;2.27962;1.21993
73.54768;64.28801;0.01360;0.01245;0.00434;1.00000;1.00000;79.11618;79.41000;92.37733;92.23619;91.04528;106.30594;106.30595;2.61220;-1.31996;141.03310;-3.16781;-0.50108;11.51011;0.49694;0.04317;9.05649;537.16779;508.65073;516.46429;515.35608;16.10424;24.25647;30.83877;28.29638;17.61374;17.48154;0.48122;0.58923;39.51847;-17.31517;3.48015;2.72369;2.48577;1.32857
85.06796;74.17847;0.01176;0.01234;0.00430;1.00000;1.00000;79.54567;80.62357;93.77270;93.43030;91.53953;107.91170;107.91170;2.52241;-1.70131;140.89496;-4.89777;-0.65033;11.44925;0.49104;0.04289;8.91182;556.58710;519.18292;523.62494;523.62775;14.59278;25.78100;31.75531;28.48437;17.67678;17.60123;0.48374;0.62504;45.06185;-28.42462;4.40180;2.99453;2.76268;1.47576
76.87579;59.84440;0.01301;0.01215;0.00421;1.00000;1.00000;80.69040;82.39306;95.80773;95.30172;92.85686;110.25358;110.25356;2.90848;-2.01511;140.79271;-5.89119;-0.78801;11.42209;0.52233;0.04573;8.74515;615.15601;567.67352;580.74042;582.82935;17.36182;31.29721;36.54969;32.22578;20.43539;20.46070;0.52593;0.72475;58.78787;-33.27838;4.20994;3.53422;3.04649;1.63978
