f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
81.33280;85.14261;0.01230;0.00732;0.00379;1.00000;1.00000;98.62862;98.49924;114.31149;114.31145;113.49979;131.54732;131.54733;1.07233;-1.40062;141.13789;0.05060;-0.93566;-36.97697;-72.63143;10006.50781;9583.99609;0.00000;9997.20703;-36.50000;-73.00000;11.23707;0.38304;0.03409;8.30462;682.03729;632.41077;595.52368;599.58551;6.21487;19.46267;33.76300;30.16565;17.39790;17.53356;0.64049;0.71756;50.45607;-41.83743;2.94274;3.99123;3.97623;2.17924
85.53064;81.99409;0.01169;0.01189;0.00459;1.00000;1.00000;98.56767;98.44174;114.24504;114.24499;113.42966;131.47086;131.47084;1.07824;-1.40362;141.14091;0.04672;-0.93663;-36.97738;-72.63102;10006.66797;9585.16895;0.00000;9997.32617;-36.50000;-73.00000;11.24046;0.38350;0.03412;8.31045;681.90485;632.24042;595.57678;599.64185;6.26219;19.52633;33.77754;30.17476;17.40813;17.54403;0.63994;0.71745;50.54950;-41.82952;2.94235;3.99033;3.97341;2.17777
85.55354;84.66683;0.01169;0.00620;0.00373;1.00000;1.00000;98.50124;98.37909;114.17264;114.17259;113.35321;131.38753;131.38753;1.08461;-1.40634;141.14334;0.04308;-0.93741;-36.97785;-72.63054;10006.83691;9586.49121;0.00000;9997.52734;-36.50000;-73.00000;11.24416;0.38399;0.03415;8.31703;681.75031;632.05334;595.62543;599.69818;6.31733;19.59081;33.79257;30.18448;17.41895;17.55523;0.63936;0.71730;50.65518;-41.81652;2.93652;3.98944;3.97034;2.17617
83.84235;84.32414;0.01193;0.01140;0.00380;1.00000;1.00000;98.44670;98.32714;114.11260;114.11257;113.29044;131.31845;131.31844;1.08941;-1.41005;141.14449;0.03944;-0.93822;-36.97826;-72.63013;10006.97168;9585.22656;0.00000;9997.68164;-36.50000;-73.00000;11.24664;0.38436;0.03418;8.32205;681.58429;631.83948;595.60199;599.67639;6.34706;19.64853;33.80184;30.18789;17.42540;17.56174;0.63883;0.71720;50.73009;-41.81833;2.96323;3.98845;3.96793;2.17495
83.90350;84.28149;0.01192;0.01160;0.00380;1.00000;1.00000;98.39387;98.27791;114.05566;114.05565;113.22964;131.25291;131.25293;1.09423;-1.41234;141.14554;0.03541;-0.93922;-36.97867;-72.62971;10007.09375;9563.01855;0.00000;9997.79590;-36.50000;-73.00000;11.24939;0.38473;0.03420;8.32717;681.44720;631.66803;595.60944;599.69995;6.38683;19.69749;33.81229;30.19364;17.43271;17.56979;0.63837;0.71707;50.79930;-41.82120;2.95392;3.98756;3.96565;2.17368
84.81515;84.45232;0.01179;0.01182;0.00389;1.00000;1.00000;98.34425;98.23085;114.00126;114.00123;113.17255;131.19031;131.19031;1.09943;-1.41526;141.14650;0.03169;-0.93999;-36.97908;-72.62930;10007.20215;9561.16016;0.00000;9997.90430;-36.50000;-73.00000;11.25230;0.38513;0.03423;8.33234;681.37732;631.55396;595.69293;599.79816;6.42685;19.75610;33.82766;30.20320;17.44288;17.58070;0.63792;0.71703;50.88346;-41.80446;2.96601;3.98701;3.96320;2.17248
86.55202;89.15835;0.01155;0.01136;0.00380;1.00000;1.00000;98.29663;98.18587;113.94923;113.94921;113.11774;131.13045;131.13043;1.10369;-1.41758;141.14755;0.02849;-0.94066;-36.97949;-72.62888;10007.29980;9561.12402;0.00000;9998.08984;-36.50000;-73.00000;11.25465;0.38546;0.03425;8.33572;681.24139;631.37915;595.68091;599.80304;6.46033;19.80037;33.83638;30.20698;17.44886;17.58750;0.63749;0.71691;50.94959;-41.80397;2.96664;3.98625;3.96110;2.17134
84.40134;86.05111;0.01185;0.01148;0.00391;1.00000;1.00000;98.25145;98.14349;113.90019;113.90018;113.06575;131.07401;131.07401;1.10821;-1.41976;141.14886;0.02509;-0.94131;-36.97990;-72.62847;10007.38477;9561.07617;0.00000;9998.13867;-36.50000;-73.00000;11.25718;0.38581;0.03427;8.34122;681.16284;631.26129;595.73346;599.87402;6.49785;19.84754;33.84888;30.21434;17.45714;17.59669;0.63710;0.71684;51.01779;-41.80041;2.96548;3.98567;3.95906;2.17025
81.32816;73.82799;0.01230;0.01156;0.00393;1.00000;1.00000;98.20914;98.10332;113.85372;113.85371;113.01706;131.02052;131.02052;1.11234;-1.42212;141.15051;0.02221;-0.94191;-36.98031;-72.62806;10007.45996;9561.01758;0.00000;9998.24414;-36.50000;-73.00000;11.25942;0.38613;0.03429;8.34493;681.07458;631.13080;595.76111;599.91980;6.52950;19.89221;33.85955;30.21980;17.46409;17.60453;0.63672;0.71678;51.08041;-41.79980;2.96987;3.98508;3.95719;2.16925
86.14932;92.14892;0.01161;0.01200;0.00408;1.00000;1.00000;98.16825;98.06468;113.80898;113.80898;112.97001;130.96904;130.96906;1.11637;-1.42440;141.15247;0.01968;-0.94253;-36.98071;-72.62766;10007.52637;9560.95020;0.00000;9998.30469;-36.50000;-73.00000;11.26160;0.38644;0.03431;8.34810;680.99615;631.01007;595.79559;599.97205;6.56060;19.93597;33.87037;30.22549;17.47111;17.61244;0.63636;0.71672;51.13804;-41.80181;2.97267;3.98447;3.95540;2.16827
83.55392;79.40289;0.01197;0.01158;0.00398;1.00000;1.00000;98.12530;97.99660;113.73009;113.73009;112.92058;130.87825;130.87827;1.12039;-1.41905;141.15504;0.01433;-0.94396;-36.98112;-72.62724;10007.58203;9575.10645;0.00000;9998.34668;-36.50000;-73.00000;11.26683;0.38665;0.03432;8.76785;680.06702;630.47723;595.03558;600.21405;6.58799;19.95664;33.83376;30.21734;17.44920;17.63281;0.63517;0.71551;50.00019;-40.91747;3.35585;3.94938;3.92850;2.15464
76.78255;87.16116;0.01302;0.01202;0.00406;1.00000;1.00000;98.04379;97.84467;113.55379;113.55378;112.82677;130.67537;130.67537;1.13326;-1.34096;141.16528;-0.00356;-0.93586;-36.98153;-72.62683;10007.59961;9583.81250;0.00000;9998.39844;-36.50000;-73.00000;11.29203;0.38743;0.03431;8.87665;677.93439;629.87488;594.82996;600.30811;7.13498;19.59382;33.75238;30.24843;17.45893;17.66149;0.63376;0.70933;47.07816;-38.19533;3.05422;3.86078;3.85468;2.11315
73.66964;86.43043;0.01357;0.01314;0.00407;1.00000;1.00000;97.90429;97.67587;113.35780;113.35779;112.66624;130.44983;130.44983;1.15682;-1.24108;141.18771;-0.02150;-0.89779;-36.98194;-72.62642;10007.55078;9591.41309;0.00000;9998.42383;-36.50000;-73.00000;11.31986;0.38920;0.03438;8.88039;676.94147;630.40466;596.14020;601.14807;8.02139;19.13792;33.76372;30.36600;17.53655;17.72199;0.63328;0.70322;45.86495;-36.44675;1.90319;3.81589;3.80871;2.08499
80.83478;82.55593;0.01237;0.01296;0.00396;1.00000;1.00000;97.74095;97.48464;113.13570;113.13569;112.47828;130.19424;130.19426;1.17851;-1.24662;141.20497;-0.03259;-0.86583;-36.98235;-72.62601;10007.45801;9594.20117;0.00000;9998.34082;-36.50000;-73.00000;11.33035;0.39068;0.03448;9.05131;675.91443;629.86511;596.42340;601.66162;8.13690;19.38943;33.78622;30.40979;17.57832;17.77203;0.63035;0.70216;44.51814;-35.07542;2.99474;3.76740;3.76693;2.06383
67.52747;68.55419;0.01481;0.01199;0.00385;1.00000;1.00000;97.54480;97.23436;112.84500;112.84496;112.25256;129.85971;129.85971;1.20560;-1.19512;141.21158;-0.04733;-0.84786;-36.98275;-72.62560;10007.32422;9594.96094;0.00000;9998.27539;-36.50000;-73.00000;11.35477;0.39248;0.03456;9.26523;673.51624;629.32910;596.72253;602.18506;8.62586;19.34490;33.73702;30.48870;17.62646;17.83508;0.62765;0.69744;42.42513;-32.91948;2.90469;3.69768;3.70249;2.02745
83.61848;84.58806;0.01196;0.01465;0.00428;1.00000;1.00000;97.28893;96.91182;112.47033;112.47025;111.95810;129.42854;129.42854;1.23756;-1.08167;141.22052;-0.06807;-0.80902;-36.98315;-72.62519;10007.13086;9595.66504;0.00000;9998.17285;-36.50000;-73.00000;11.38888;0.39458;0.03465;9.40611;669.69257;628.67157;596.96924;602.19202;9.55323;18.92567;33.61613;30.59113;17.68445;17.88715;0.62581;0.68873;39.30059;-29.51025;2.12837;3.60674;3.55576;1.98000
84.37761;93.72071;0.01185;0.01143;0.00359;1.00000;1.00000;96.97807;96.58147;112.08647;112.08634;111.60038;128.98682;128.98683;1.28901;-1.01679;141.22592;-0.09135;-0.76025;-36.98356;-72.62479;10006.85449;9596.27539;0.00000;9997.93652;-36.50000;-73.00000;11.42070;0.39836;0.03488;9.27583;668.77338;629.53040;599.82501;604.02625;10.44823;18.97789;33.72671;30.81310;17.85931;18.01909;0.62478;0.68462;38.66179;-27.84272;1.68724;3.56670;3.50701;1.95045
69.20165;81.89338;0.01445;0.01253;0.00424;1.00000;1.00000;96.66119;96.29335;111.75157;111.75146;111.23572;128.60141;128.60143;1.33114;-1.04523;141.21471;-0.08402;-0.72633;-36.98396;-72.62439;10006.55664;9596.86133;0.00000;9997.70215;-36.50000;-73.00000;11.43360;0.40161;0.03513;9.48021;669.23370;629.72729;601.47241;605.38330;10.71527;19.49669;33.89956;30.94898;17.98097;18.12413;0.62273;0.68596;39.67505;-27.98916;2.07545;3.57217;3.49910;1.94638
85.49725;89.57362;0.01170;0.01175;0.00366;1.00000;1.00000;96.35697;95.97657;111.38348;111.38342;110.88563;128.17783;128.17784;1.36408;-1.08956;141.18460;-0.06944;-0.72242;-36.98436;-72.62398;10006.30273;9597.49316;0.00000;9997.44824;-36.50000;-73.00000;11.44475;0.40395;0.03530;9.48203;667.79773;628.40942;601.36798;605.41302;10.68403;20.06266;33.94209;30.98531;18.03093;18.18081;0.61852;0.68659;39.24702;-27.39839;3.05667;3.54287;3.46938;1.93139
87.41013;88.48775;0.01144;0.01196;0.00420;1.00000;1.00000;96.03667;95.64896;111.00291;111.00284;110.51704;127.73988;127.73985;1.40151;-1.04256;141.15390;-0.05952;-0.71452;-36.98476;-72.62358;10006.08691;9598.15820;0.00000;9997.14258;-36.50000;-73.00000;11.46833;0.40677;0.03547;9.42111;666.30627;627.87164;601.96729;605.71588;11.32067;20.04285;33.98066;31.08755;18.11298;18.25292;0.61695;0.68274;39.25152;-26.78949;2.04050;3.52335;3.44143;1.91292
84.41014;83.54917;0.01185;0.01171;0.00405;1.00000;1.00000;95.71654;95.34626;110.65131;110.65128;110.14863;127.33525;127.33526;1.43644;-1.05915;141.12857;-0.04513;-0.69876;-36.98516;-72.62318;10005.91113;9598.85645;0.00000;9996.94824;-36.50000;-73.00000;11.47846;0.40949;0.03567;9.39950;665.79395;627.13745;602.43500;605.92004;11.57735;20.37217;34.08011;31.15356;18.19020;18.31441;0.61466;0.68271;40.12768;-26.99917;2.15700;3.52654;3.43251;1.90827
86.31142;91.44946;0.01159;0.01172;0.00403;1.00000;1.00000;95.40977;95.06564;110.32544;110.32542;109.79560;126.96025;126.96025;1.47429;-1.12895;141.09886;-0.02480;-0.70500;-36.98556;-72.62277;10005.78809;9599.60840;0.00000;9996.75391;-36.50000;-73.00000;11.48427;0.41248;0.03592;9.38115;666.40387;626.59412;603.29230;606.84637;11.53303;21.07968;34.26043;31.22725;18.28129;18.40704;0.61166;0.68661;42.04417;-28.01310;2.83974;3.54924;3.49592;1.91054
85.07288;81.30742;0.01175;0.01162;0.00393;1.00000;1.00000;95.12712;94.80408;110.02180;110.02180;109.47034;126.61084;126.61083;1.49285;-1.16003;141.07285;-0.00598;-0.71863;-36.98595;-72.62238;10005.73926;9587.10449;0.00000;9996.67871;-36.50000;-73.00000;11.48771;0.41395;0.03603;9.68135;665.28918;624.77484;601.84174;606.01184;11.52702;21.32936;34.27483;31.18310;18.26485;18.41874;0.60912;0.68696;42.80439;-28.85702;2.70151;3.55719;3.49842;1.91165
85.79121;84.39530;0.01166;0.01161;0.00386;1.00000;1.00000;94.84705;94.49063;109.65800;109.65800;109.14803;126.19218;126.19218;1.51859;-1.16362;141.05859;-0.00770;-0.73136;-36.98635;-72.62198;10005.72070;9572.02539;0.00000;9996.55371;-36.50000;-73.00000;11.50020;0.41570;0.03615;9.62877;662.64581;622.77032;600.78491;605.25311;11.65292;21.52935;34.22350;31.16644;18.27422;18.44537;0.60534;0.68481;41.66259;-27.84231;3.13389;3.51109;3.45688;1.88887
84.62720;92.85913;0.01182;0.01220;0.00405;1.00000;1.00000;94.53468;94.16365;109.27845;109.27843;108.78857;125.75540;125.75539;1.55267;-1.10256;141.06100;-0.02080;-0.72641;-36.98674;-72.62157;10005.67090;9558.77148;0.00000;9996.58301;-36.50000;-73.00000;11.52388;0.41824;0.03629;9.56065;660.53101;621.71472;600.91943;605.01923;12.31170;21.36872;34.21734;31.23124;18.33961;18.49914;0.60439;0.67956;40.66645;-26.34893;2.13373;3.47378;3.35779;1.86567
85.54189;91.83579;0.01169;0.01166;0.00400;1.00000;1.00000;94.21771;93.85598;108.92123;108.92120;108.42381;125.34431;125.34431;1.59667;-1.10742;141.07286;-0.03449;-0.71069;-36.98714;-72.62118;10005.57129;9549.40723;0.00000;9996.52441;-36.50000;-73.00000;11.53702;0.42156;0.03654;9.96671;660.16492;621.54889;601.86292;606.57758;12.68670;21.71350;34.35051;31.35967;18.44456;18.62981;0.60267;0.67961;40.96373;-26.00531;2.36391;3.46223;3.33687;1.85368
86.06149;87.21437;0.01162;0.01167;0.00391;1.00000;1.00000;93.89413;93.50372;108.51222;108.51220;108.05145;124.87364;124.87363;1.64069;-1.11587;141.08154;-0.03537;-0.71077;-36.98753;-72.62079;10005.45410;9540.10156;0.00000;9996.40820;-36.50000;-73.00000;11.55756;0.42481;0.03676;9.73630;658.57471;620.49261;602.67297;606.94836;12.95533;22.10749;34.41794;31.44751;18.55005;18.72080;0.59962;0.67879;40.40692;-24.45098;2.88166;3.42261;3.29108;1.79281
84.29591;92.67841;0.01186;0.01155;0.00390;1.00000;1.00000;93.54852;93.16734;108.12162;108.12160;107.65371;124.42415;124.42415;1.68527;-1.06065;141.09409;-0.04510;-0.69608;-36.98792;-72.62039;10005.31738;9530.75781;0.00000;9996.28418;-36.50000;-73.00000;11.57560;0.42813;0.03699;9.65833;657.57623;620.22894;603.65564;607.67645;13.69167;22.05423;34.50825;31.58309;18.66391;18.82526;0.60033;0.67499;40.48121;-24.37699;1.74096;3.40843;3.27111;1.77729
83.46579;85.66779;0.01198;0.01147;0.00385;1.00000;1.00000;93.21549;92.86450;107.76994;107.76991;107.27048;124.01944;124.01942;1.72723;-1.10329;141.10258;-0.03521;-0.68142;-36.98830;-72.62000;10005.18164;9521.41602;0.00000;9996.15332;-36.50000;-73.00000;11.57927;0.43141;0.03726;9.62492;657.82751;619.75299;604.56659;608.35742;13.85242;22.56126;34.68008;31.67583;18.77462;18.92024;0.59835;0.67757;41.67185;-24.90545;2.16450;3.42201;3.26912;1.77728
85.72443;90.02521;0.01167;0.01161;0.00392;1.00000;1.00000;92.90950;92.58546;107.44597;107.44598;106.91835;123.64661;123.64662;1.76202;-1.18159;141.09642;-0.00975;-0.69305;-36.98869;-72.61961;10005.10449;9512.22656;0.00000;9996.03906;-36.50000;-73.00000;11.44192;0.43418;0.03795;9.49203;658.13379;618.75330;604.69855;608.64374;13.72169;23.22523;34.83650;31.71307;18.84355;18.99483;0.59499;0.68238;43.43220;-26.37352;2.79347;3.44841;3.33668;1.78265
86.19511;92.75577;0.01160;0.01191;0.00400;1.00000;1.00000;92.61821;92.28190;107.09368;107.09369;106.58314;123.24121;123.24122;1.78782;-1.21562;141.08414;0.00259;-0.71652;-36.98907;-72.61922;10005.09473;9508.79883;0.00000;9996.02148;-36.50000;-73.00000;11.44714;0.43610;0.03810;9.91027;656.33282;616.78375;603.14221;608.04895;13.69467;23.54896;34.83425;31.68745;18.83576;19.03397;0.59157;0.68293;43.48109;-26.36261;3.12455;3.43496;3.31943;1.77467
83.94314;85.28785;0.01191;0.01162;0.00399;1.00000;1.00000;92.29605;91.88921;106.63794;106.63793;106.21240;122.71676;122.71676;1.82681;-1.16410;141.08112;-0.01426;-0.73005;-36.98946;-72.61883;10005.08008;9510.32910;0.00000;9995.99023;-36.50000;-73.00000;11.47000;0.43867;0.03825;10.00119;652.37805;614.79901;602.35187;607.49725;14.15609;23.52596;34.73813;31.73220;18.87967;19.09897;0.58884;0.67730;41.11116;-24.07734;3.12689;3.35064;3.24876;1.73344
83.63663;80.61266;0.01196;0.01146;0.00389;1.00000;1.00000;91.90900;91.47361;106.15546;106.15543;105.76699;122.16153;122.16154;1.88373;-1.03913;141.09599;-0.04818;-0.70729;-36.98984;-72.61845;10004.97949;9515.22559;0.00000;9995.90527;-36.50000;-73.00000;11.50154;0.44286;0.03850;9.77933;649.87231;614.48547;603.77094;608.09662;15.29704;23.16846;34.77224;31.92479;19.03888;19.22493;0.59055;0.66877;39.67242;-21.77264;1.57925;3.29441;3.13501;1.69748
81.53654;82.35197;0.01226;0.01170;0.00389;1.00000;1.00000;91.50915;91.09573;105.71665;105.71661;105.30685;121.65656;121.65657;1.94553;-1.04928;141.11307;-0.05637;-0.67369;-36.99022;-72.61806;10004.80566;9520.01465;0.00000;9995.79297;-36.50000;-73.00000;11.50900;0.44756;0.03889;10.21153;649.87579;614.64362;605.45050;610.04443;15.77234;23.63169;34.98910;32.12498;19.21505;19.40704;0.58950;0.67045;40.35720;-21.59490;1.91047;3.29052;3.11646;1.68652
73.49750;75.46601;0.01361;0.01499;0.00467;1.00000;1.00000;91.10958;90.68513;105.23983;105.23978;104.84704;121.10784;121.10784;2.00131;-1.11082;141.11211;-0.05751;-0.67377;-36.99061;-72.61767;10004.62207;9528.38965;0.00000;9995.63867;-36.50000;-73.00000;11.51541;0.45160;0.03922;10.28605;648.61035;613.30652;606.09570;610.44635;15.79068;24.36027;35.12538;32.22511;19.34635;19.52949;0.58496;0.67418;40.00465;-20.80210;3.05609;3.25768;3.08171;1.66893
85.44730;88.95214;0.01170;0.01186;0.00379;1.00000;1.00000;90.69595;90.23725;104.71976;104.71972;104.37104;120.50935;120.50937;2.06041;-1.04695;141.10846;-0.06323;-0.67051;-36.99099;-72.61729;10004.43457;9538.07422;0.00000;9995.50195;-36.50000;-73.00000;11.53624;0.45577;0.03951;10.03398;645.69971;612.25702;606.63416;610.84656;16.49932;24.37434;35.15881;32.38129;19.47989;19.66554;0.58470;0.66951;38.83043;-19.35386;2.31887;3.20211;3.03323;1.63642
