f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
95.64894;95.18370;0.01045;0.00704;0.00402;1.00000;1.00000;100.10570;100.06986;101.24914;101.22104;115.19958;116.51543;116.51543;9.99154;0.28842;0.02887;8.62450;577.18689;531.44250;445.50363;449.88254;-7.35034;3.26323;24.92407;22.24320;12.10179;12.22071;0.66998;0.66783;32.06593;-49.13680;1.46740;3.73038;4.12114;2.26938
96.56967;92.56689;0.01036;0.01014;0.00284;1.00000;1.00000;99.98980;99.74472;100.92845;100.85355;115.06621;116.14639;116.14639;9.39014;0.25978;0.02767;7.98527;536.48718;490.36655;391.91147;395.88846;-11.79713;-1.26986;22.27454;19.75839;10.67433;10.77187;0.68435;0.66174;29.11077;-53.37868;1.70734;3.69940;4.18360;2.28571
98.11881;95.39254;0.01019;0.00999;0.00293;1.00000;1.00000;99.73273;99.57684;100.76803;100.70966;114.77038;115.96178;115.96178;8.87446;0.23906;0.02694;7.43961;509.96252;461.26389;353.70010;357.04605;-15.54186;-4.12543;20.60913;18.08969;9.77643;9.84869;0.70443;0.66394;28.82863;-58.74940;2.27329;3.72839;4.30621;2.32786
97.56249;98.42519;0.01025;0.00999;0.00344;1.00000;1.00000;99.64378;99.89127;101.09286;101.07768;114.66801;116.33559;116.33559;8.59294;0.22914;0.02667;7.32245;502.90625;451.38571;337.75595;341.55801;-17.82905;-5.21679;20.08071;17.48139;9.44686;9.52410;0.72574;0.67271;29.41562;-64.29015;2.93390;3.80173;4.46619;2.39058
95.89362;99.98000;0.01043;0.01031;0.00363;1.00000;1.00000;99.93092;100.46259;101.67332;101.67321;114.99846;117.00358;117.00358;8.72362;0.23398;0.02682;7.78368;513.88611;464.24988;350.09421;354.73697;-17.21918;-4.56118;20.61843;18.08165;9.73785;9.83002;0.72775;0.67810;27.06919;-61.58722;3.27106;3.80039;4.41829;2.38768
93.54827;94.50009;0.01069;0.01009;0.00365;1.00000;1.00000;100.40259;100.83237;102.04661;102.04337;115.54124;117.43314;117.43314;9.07077;0.24012;0.02647;8.35059;520.94647;476.89798;364.65714;370.55872;-15.06206;-4.67406;21.03845;18.76094;10.06925;10.19633;0.71417;0.67766;22.67634;-55.54947;1.73880;3.71525;4.26219;2.32408
95.60427;92.66123;0.01046;0.01023;0.00371;1.00000;1.00000;100.72770;100.86551;102.07742;102.06937;115.91537;117.46861;117.46861;9.22220;0.24429;0.02649;8.30325;522.37500;482.42010;374.60089;380.48981;-13.44147;-4.56179;21.22601;19.13786;10.29105;10.42853;0.69994;0.67156;17.64477;-49.44095;1.58661;3.59612;4.03075;2.24816
96.45443;100.70494;0.01037;0.01013;0.00373;1.00000;1.00000;100.79266;100.74206;101.94897;101.93886;115.99012;117.32079;117.32079;9.36724;0.24911;0.02659;8.07714;524.54114;487.42474;384.11288;388.83566;-12.00505;-4.14852;21.46172;19.49074;10.50590;10.62349;0.68798;0.66521;15.25783;-45.06741;1.74327;3.57629;3.91058;2.19085
93.81763;98.50275;0.01066;0.01015;0.00377;1.00000;1.00000;100.72575;100.67941;101.88204;101.87337;115.91312;117.24377;117.24377;9.44325;0.25195;0.02668;8.03431;526.56512;491.10129;389.44418;393.06906;-10.92044;-4.26832;21.61629;19.72104;10.62928;10.72496;0.68182;0.66373;14.92861;-43.59414;0.53606;3.55952;3.87709;2.17469
95.28531;92.97136;0.01049;0.01023;0.00376;1.00000;1.00000;100.68824;100.72470;101.92480;101.91888;115.86996;117.29297;117.29296;9.44143;0.25255;0.02675;8.12524;528.92487;492.00211;390.64865;394.00449;-11.19316;-3.90107;21.73530;19.75661;10.66011;10.74839;0.68486;0.66538;16.64807;-45.06149;1.36539;3.59040;3.91830;2.19330
97.74762;99.33446;0.01023;0.01004;0.00375;1.00000;1.00000;100.71968;100.78912;101.98752;101.98394;115.90614;117.36515;117.36516;9.41401;0.25179;0.02675;8.20947;529.60883;491.37759;389.28412;393.00101;-11.69738;-3.72368;21.74461;19.70227;10.63130;10.72358;0.68888;0.66721;17.85039;-46.54966;1.66160;3.61847;3.95842;2.21195
96.96923;99.04913;0.01031;0.01025;0.00374;1.00000;1.00000;100.76171;100.79021;101.98669;101.98449;115.95451;117.36420;117.36420;9.39285;0.25089;0.02671;8.20776;528.43390;490.29294;387.53891;391.38675;-11.88367;-3.82923;21.66805;19.63837;10.59104;10.68333;0.68981;0.66745;17.80812;-46.77850;1.62485;3.61986;3.96321;2.21427
94.22715;94.96677;0.01061;0.01030;0.00371;1.00000;1.00000;100.75906;100.73435;101.92865;101.92716;115.95145;117.29740;117.29740;9.38492;0.25045;0.02669;8.14502;526.97308;489.30875;386.49747;390.10995;-11.89552;-3.91889;21.59290;19.59268;10.56553;10.65044;0.68891;0.66653;17.39263;-46.45280;1.60502;3.60952;3.95149;2.20869
94.71906;93.99380;0.01056;0.01021;0.00378;1.00000;1.00000;100.71303;100.67508;101.86739;101.86631;115.89848;117.22691;117.22691;9.38397;0.25044;0.02669;8.10247;526.35339;488.78452;386.10266;389.44180;-11.86541;-3.93379;21.56594;19.57201;10.55495;10.63240;0.68814;0.66587;17.49890;-46.50433;1.53411;3.60780;3.94974;2.20739
90.82744;96.43202;0.01101;0.01035;0.00386;1.00000;1.00000;100.66353;100.64682;101.83770;101.83691;115.84152;117.19273;117.19273;9.38029;0.25048;0.02670;8.12150;526.60602;488.47147;385.81155;389.10425;-11.98371;-3.81464;21.57994;19.55571;10.54776;10.62304;0.68880;0.66593;18.13533;-47.10169;1.66747;3.61784;3.96350;2.21351
91.23635;89.44543;0.01096;0.01086;0.00390;1.00000;1.00000;100.63468;100.63977;101.82961;101.82903;115.80833;117.18343;117.18343;9.38152;0.25057;0.02671;8.15045;527.15460;488.36111;385.68509;389.06009;-12.11789;-3.67979;21.60758;19.54776;10.54498;10.62135;0.68980;0.66623;18.60989;-47.45071;1.75883;3.56730;3.97524;2.22049
96.20017;100.28080;0.01039;0.01042;0.00371;1.00000;1.00000;100.62077;100.62199;101.81084;101.81044;115.79231;117.16183;117.16183;9.37381;0.25029;0.02670;8.16455;526.82739;487.75528;384.92996;388.49976;-12.22772;-3.65627;21.58796;19.51469;10.52672;10.60739;0.69022;0.66616;18.71614;-47.74064;1.79725;3.56947;3.98075;2.22260
96.73558;93.83503;0.01034;0.01024;0.00363;1.00000;1.00000;100.59907;100.58447;101.77219;101.77188;115.76734;117.11736;117.11736;9.37489;0.25029;0.02670;8.14833;526.40314;487.35971;384.64090;388.27463;-12.20448;-3.66474;21.57081;19.49869;10.51856;10.60131;0.68958;0.66559;18.61615;-47.64653;1.73178;3.56534;3.97597;2.22008
98.62933;101.61570;0.01014;0.01009;0.00353;1.00000;1.00000;100.56335;100.54125;101.72786;101.72760;115.72623;117.06633;117.06633;9.37967;0.25047;0.02670;8.14018;526.19128;487.14221;384.65375;388.29288;-12.14513;-3.65093;21.56789;19.49369;10.51721;10.60109;0.68875;0.66497;18.59986;-47.56413;1.68382;3.56195;3.97155;2.21767
96.70112;95.03897;0.01034;0.01001;0.00354;1.00000;1.00000;100.52392;100.50539;101.69102;101.69082;115.68086;117.02395;117.02396;9.38374;0.25069;0.02671;8.14554;526.25378;487.00433;384.71423;388.38882;-12.12021;-3.60311;21.57793;19.49106;10.51726;10.60286;0.68832;0.66459;18.78912;-47.67813;1.66838;3.56287;3.97274;2.21787
90.62903;67.49915;0.01103;0.01005;0.00349;1.00000;1.00000;100.48940;100.47778;101.66259;101.66242;115.64114;116.99122;116.99121;9.38557;0.25082;0.02672;8.14312;526.35400;486.83356;384.66611;388.42004;-12.13546;-3.54383;21.58768;19.48487;10.51511;10.60317;0.68820;0.66436;19.01760;-47.86460;1.69469;3.56524;3.97613;2.21919
96.86524;97.31413;0.01032;0.01002;0.00339;1.00000;1.00000;100.45930;100.45063;101.63470;101.63459;115.60651;116.95914;116.95914;9.38713;0.25092;0.02673;8.15139;526.34448;486.64203;384.56195;388.40643;-12.14154;-3.50349;21.59123;19.47775;10.51171;10.60234;0.68801;0.66409;19.17212;-47.99043;1.69143;3.56637;3.97791;2.21978
96.01260;97.74216;0.01042;0.01010;0.00355;1.00000;1.00000;100.43166;100.42166;101.60502;101.60493;115.57469;116.92497;116.92497;9.38908;0.25102;0.02674;8.15945;526.23694;486.45212;384.47263;388.36777;-12.13086;-3.47712;21.59015;19.47144;10.50865;10.60082;0.68765;0.66374;19.24570;-48.03196;1.68209;3.56583;3.97744;2.21935
95.53393;92.75577;0.01047;0.01030;0.00362;1.00000;1.00000;100.40161;100.38779;101.57044;101.57037;115.54012;116.88518;116.88518;9.39175;0.25114;0.02674;8.15549;526.08405;486.26245;384.41730;388.31952;-12.10806;-3.45146;21.58771;19.46614;10.50631;10.59891;0.68716;0.66331;19.29627;-48.03712;1.67260;3.56448;3.97583;2.21838
96.96474;100.00000;0.01031;0.01024;0.00359;1.00000;1.00000;100.36918;100.35655;101.53857;101.53851;115.50279;116.84850;116.84850;9.39450;0.25127;0.02675;8.14040;525.99915;486.12115;384.41348;388.29279;-12.08779;-3.42028;21.58852;19.46304;10.50532;10.59752;0.68674;0.66294;19.38331;-48.07396;1.66830;3.56398;3.97524;2.21789
97.30526;95.78544;0.01028;0.01055;0.00370;1.00000;1.00000;100.33862;100.33066;101.51212;101.51209;115.46762;116.81808;116.81808;9.39647;0.25140;0.02675;8.14801;526.00140;486.00876;384.39285;388.28275;-12.08589;-3.37922;21.59269;19.46038;10.50416;10.59659;0.68652;0.66268;19.53608;-48.18087;1.67820;3.56514;3.97678;2.21844
96.70528;99.65122;0.01034;0.01016;0.00352;1.00000;1.00000;100.31299;100.30940;101.49043;101.49040;115.43813;116.79310;116.79310;9.39760;0.25148;0.02676;8.15821;525.99133;485.88873;384.32907;388.25241;-12.09719;-3.33845;21.59521;19.45660;10.50217;10.59524;0.68640;0.66248;19.66463;-48.28051;1.70290;3.56621;3.97831;2.21905
96.61823;91.42439;0.01035;0.01039;0.00355;1.00000;1.00000;100.29015;100.28674;101.46732;101.46730;115.41184;116.76652;116.76651;9.39904;0.25155;0.02676;8.16690;525.89294;485.75586;384.25992;388.20322;-12.09363;-3.31272;21.59344;19.45267;10.49999;10.59341;0.68614;0.66220;19.71821;-48.30953;1.70375;3.56577;3.97789;2.21873
96.98194;97.10625;0.01031;0.01025;0.00352;1.00000;1.00000;100.26691;100.26175;101.44189;101.44187;115.38511;116.73726;116.73725;9.40113;0.25165;0.02677;8.15566;525.77875;485.63461;384.23688;388.16226;-12.07692;-3.29144;21.59155;19.44991;10.49880;10.59178;0.68578;0.66188;19.75352;-48.30953;1.69837;3.56476;3.97663;2.21801
97.71815;96.35769;0.01023;0.01032;0.00355;1.00000;1.00000;100.24323;100.23909;101.41885;101.41884;115.35785;116.71072;116.71073;9.40324;0.25175;0.02677;8.14740;525.71301;485.53815;384.24390;388.14740;-12.06540;-3.26385;21.59204;19.44812;10.49839;10.59085;0.68548;0.66159;19.80315;-48.32144;1.70739;3.56413;3.97583;2.21753
96.28961;92.89363;0.01039;0.01007;0.00348;1.00000;1.00000;100.22004;100.21779;101.39719;101.39719;115.33117;116.68581;116.68581;9.40504;0.25185;0.02678;8.16028;525.68036;485.44702;384.22009;388.15115;-12.05825;-3.23566;21.59378;19.44621;10.49728;10.59040;0.68524;0.66136;19.89115;-48.37397;1.70736;3.56438;3.97617;2.21755
97.41434;94.46439;0.01027;0.01007;0.00348;1.00000;1.00000;100.19910;100.20058;101.37968;101.37967;115.30707;116.66566;116.66566;9.40647;0.25193;0.02678;8.15706;525.68158;485.36984;384.21674;388.14520;-12.05764;-3.20688;21.59668;19.44438;10.49676;10.58982;0.68509;0.66118;19.98028;-48.43644;1.71326;3.56494;3.97694;2.21780
94.64964;101.26582;0.01057;0.01013;0.00350;1.00000;1.00000;100.18165;100.18626;101.36512;101.36511;115.28699;116.64890;116.64890;9.40746;0.25199;0.02679;8.16662;525.66907;485.29019;384.18295;388.13861;-12.06096;-3.18230;21.59825;19.44197;10.49559;10.58930;0.68498;0.66102;20.05117;-48.48674;1.72318;3.56535;3.97754;2.21801
87.89439;92.15741;0.01138;0.01029;0.00351;1.00000;1.00000;100.16647;100.17094;101.34956;101.34956;115.26952;116.63100;116.63100;9.40865;0.25204;0.02679;8.16725;525.60858;485.20264;384.15637;388.11676;-12.05518;-3.16616;21.59759;19.43948;10.49453;10.58843;0.68478;0.66083;20.07778;-48.49620;1.72169;3.56484;3.97698;2.21765
98.81604;100.98969;0.01012;0.00997;0.00445;1.00000;1.00000;100.14066;100.14428;101.32249;101.32249;115.23982;116.59985;116.59984;9.41227;0.25220;0.02679;8.17305;525.56146;485.13666;384.22458;388.19229;-12.02833;-3.13427;21.60046;19.44028;10.49540;10.58968;0.68434;0.66047;20.11484;-48.47862;1.71935;3.56363;3.97525;2.21673
