f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;_lift,___lb;_drag,___lb;_side,___lb;____L,lb-ft;____M,lb-ft;____N,lb-ft;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
85.72012;19.90000;0.01167;0.00658;0.00351;1.00000;1.00000;88.68457;87.68997;88.71867;88.70380;102.05638;102.09563;102.09563;2.80133;0.26619;5.67718;-1.04939;0.03347;-36.73039;-73.08227;1006.48315;987.34406;0.00000;1000.82935;-36.50000;-73.00000;2647.28223;225.97234;1.73767;68.70838;-164.13721;-28.74309;11.71507;0.50222;0.04287;7.83995;630.56769;630.01385;650.44080;646.97839;27.35561;23.74957;36.56479;36.53625;22.62884;22.42624;0.65973;0.61739;13.74850;12.59713;-1.89513;2.53666;2.65613;1.26406
91.14673;100.32102;0.01097;0.01246;0.00612;1.00000;1.00000;87.59409;86.81281;87.82832;87.82327;100.80148;101.07103;101.07103;2.85943;-0.10065;5.51055;-0.61457;0.01278;-36.72997;-73.08221;1004.25549;998.57794;0.00000;997.49829;-36.50000;-73.00000;2626.21997;225.58507;-7.22498;106.51200;-171.75969;-10.74703;11.64182;0.50834;0.04367;8.83996;630.67963;623.34143;643.18549;638.84674;26.00747;25.42236;36.81585;36.13324;22.54811;22.22975;0.63805;0.63695;22.95149;4.20556;0.02849;2.65739;2.61662;1.28544
91.83566;98.56100;0.01089;0.01065;0.00304;1.00000;1.00000;86.76089;86.19971;87.20664;87.20573;99.84266;100.35561;100.35562;2.88090;-0.72707;5.30335;-0.26233;-0.12644;-36.72956;-73.08217;1003.13977;998.50214;0.00000;995.36017;-36.50000;-73.00000;2609.12329;225.58563;-21.01291;139.43130;-189.90042;23.92480;11.56600;0.51224;0.04429;9.11088;634.67743;616.61011;635.50220;631.16150;23.23452;28.22687;37.21989;35.53758;22.32880;21.98736;0.60308;0.67753;33.64207;-5.22924;3.55207;2.87309;2.65565;1.35789
91.52112;93.61543;0.01093;0.01098;0.00329;1.00000;1.00000;86.15237;85.86806;86.87073;86.87072;99.14238;99.96905;99.96905;2.86378;-1.22728;5.10576;0.02601;-0.31971;-36.72916;-73.08212;1002.84753;998.85083;0.00000;994.21082;-36.50000;-73.00000;2596.65137;225.75555;-29.87852;171.12968;-213.22038;21.19065;11.50205;0.51374;0.04466;9.15404;640.75977;611.68250;627.69220;624.73871;21.06755;30.10486;37.59997;34.93622;21.99465;21.73017;0.58194;0.71126;45.53767;-15.91092;4.21205;3.15889;2.84363;1.50611
91.08813;98.83376;0.01098;0.01050;0.00333;1.00000;1.00000;85.81865;85.86135;86.86443;86.86353;98.75834;99.96181;99.96181;2.77852;-1.68006;4.96905;0.26268;-0.51874;-36.72876;-73.08208;1003.23395;999.27466;0.00000;993.88129;-36.50000;-73.00000;2579.36426;225.37540;-37.85816;203.57037;-231.31270;24.54546;11.44475;0.51040;0.04460;9.09758;647.03839;607.09851;618.03680;616.59039;18.69805;31.39737;37.73855;34.13983;21.44252;21.25770;0.56579;0.73986;56.33639;-26.34539;4.94895;3.53638;3.07413;1.66112
92.38019;90.81828;0.01082;0.01069;0.00338;1.00000;1.00000;85.80973;86.22363;87.23212;87.22961;98.74808;100.38493;100.38494;2.64598;-2.03268;4.90080;0.43457;-0.72263;-36.72836;-73.08203;1004.14185;1000.21906;0.00000;994.22852;-36.50000;-73.00000;2567.19360;225.37770;-44.00815;239.09479;-249.69231;31.56918;11.39063;0.50373;0.04422;8.99144;654.79449;605.38416;609.47125;608.85736;16.38613;32.18565;37.74189;33.38630;20.83465;20.71034;0.55758;0.76261;64.72195;-34.62880;5.69922;3.88532;3.33357;1.82205
90.14967;95.52924;0.01109;0.01123;0.00361;1.00000;1.00000;86.16389;86.95422;87.97293;87.96857;99.15563;101.23744;101.23746;2.47587;-2.27906;4.91594;0.57164;-0.88457;-36.72796;-73.08199;1005.44110;1001.56000;0.00000;995.09686;-36.50000;-73.00000;2560.15112;225.24231;-46.46704;277.06393;-271.62097;-9.45812;11.36621;0.49394;0.04346;8.71945;665.31921;604.10205;601.22095;603.65326;14.60258;32.01337;37.82930;32.59739;20.15941;20.19231;0.56158;0.77580;77.41267;-47.51920;3.07314;4.42336;3.73988;2.03538
91.56386;83.27087;0.01092;0.01105;0.00343;1.00000;1.00000;86.88486;88.01637;89.04967;89.04364;99.98531;102.47653;102.47653;2.25655;-2.78516;4.97225;0.66672;-1.06971;-36.72755;-73.08195;1007.08618;1003.24799;0.00000;996.39435;-36.50000;-73.00000;2545.29663;225.67125;-59.08399;295.65924;-282.05676;39.64045;11.27878;0.47929;0.04250;8.64285;675.49890;600.65405;591.51178;596.88104;10.69095;33.17533;37.79268;31.54967;19.36551;19.52656;0.55940;0.80993;87.91860;-59.58921;6.75565;4.90846;4.17721;2.29830
88.30961;89.45344;0.01132;0.01051;0.00324;1.00000;1.00000;87.86771;89.14190;90.19076;90.18484;101.11636;103.78967;103.78967;2.03866;-2.96852;5.03775;0.65653;-1.29719;-36.72713;-73.08190;1008.85712;1005.06091;0.00000;997.98724;-36.50000;-73.00000;2524.05347;224.84601;-62.88904;291.78372;-266.93744;51.95456;11.22570;0.46337;0.04128;8.60882;679.05945;598.03436;582.85095;590.37134;7.80440;32.97943;37.25399;30.68032;18.62208;18.92194;0.56423;0.81653;89.19571;-64.04194;7.74165;5.00394;4.35924;2.45199
90.32225;91.00009;0.01107;0.01091;0.00339;1.00000;1.00000;88.96228;90.26286;91.32713;91.32251;102.37597;105.09739;105.09739;1.87056;-2.73528;5.18670;0.57618;-1.40175;-36.72672;-73.08186;1010.50360;1006.74847;0.00000;999.69067;-36.50000;-73.00000;2518.30396;223.90463;-55.55725;291.41586;-263.42612;-6.07002;11.24722;0.45090;0.04009;8.63086;681.31921;599.96857;579.36279;588.93042;7.68982;30.68132;36.75177;30.29828;18.17828;18.58253;0.57761;0.79345;89.37163;-66.17374;3.39200;5.04931;4.46028;2.47356
