f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;_lift,___lb;_drag,___lb;_side,___lb;____L,lb-ft;____M,lb-ft;____N,lb-ft;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
1.47281;54.08329;0.67898;0.99450;0.01561;1.00000;1.00000;100.08917;100.11261;101.29006;101.29005;115.18056;116.56253;116.56252;0.91643;-1.29664;5.71588;0.00060;-0.91382;-36.73505;-73.08286;1008.52765;980.85187;0.00000;963.43231;-36.50000;-73.00000;2584.50098;217.85066;-55.99446;-21.81081;-1540.28894;498.22705;11.86364;0.37618;0.03171;278.24020;645.95441;627.46851;594.77411;592.39008;2.10318;19.94728;31.32126;29.83077;17.15072;17.03585;0.61933;0.69923;48.48128;48.72154;34.41600;3.51905;3.67787;2.25663
63.81689;76.87577;0.01567;0.73527;0.00541;1.00000;1.00000;73.21181;99.64826;100.82069;100.81470;84.25066;116.02238;116.02237;1.72106;0.28786;5.81140;0.62344;-0.67382;-36.73459;-73.08280;1008.81940;977.28772;0.00000;733.12598;-36.50000;-73.00000;2902.60034;247.56412;21.57742;162.92519;-203.46164;-313.27029;11.72464;0.42642;0.03637;10.40462;729.42566;714.44318;693.04907;695.64777;24.09337;16.86305;38.00295;36.93320;21.42331;21.61303;0.73890;0.68791;31.19864;-10.93774;-21.38064;3.60868;3.38084;2.04284
93.43281;99.50249;0.01070;0.01377;0.00319;1.00000;1.00000;92.32085;98.58926;99.75530;99.68350;106.24094;114.79636;114.79636;1.78513;-0.76225;5.92559;2.17408;-0.39941;-36.73413;-73.08275;1012.97162;979.20184;0.00000;929.37573;-36.50000;-73.00000;2882.80884;248.45062;-27.97280;126.66582;-189.64464;75.67492;11.60315;0.43266;0.03729;11.02934;731.56293;703.51733;688.07318;689.59650;17.78686;24.02882;38.59207;36.28671;21.52076;21.48198;0.67988;0.74234;37.70287;-17.80230;6.35479;3.67027;3.49296;1.89182
89.45240;88.63677;0.01118;0.01039;0.00273;1.00000;1.00000;96.92318;96.81773;97.97462;97.81385;111.53721;112.74719;112.74718;1.53933;-1.18901;5.80658;3.28277;-0.60507;-36.73367;-73.08269;1021.17114;985.98450;0.00000;990.56573;-36.50000;-73.00000;2661.22510;231.01100;-36.50240;77.60155;-207.52269;109.21284;11.51991;0.41416;0.03595;11.57457;684.97479;651.60138;631.11530;635.16656;11.37156;23.55845;35.30267;32.70772;19.19493;19.36572;0.62396;0.71816;33.74347;-16.75674;9.89176;3.41050;3.40843;1.85989
92.55895;98.63878;0.01080;0.01078;0.00310;1.00000;1.00000;96.43890;94.78840;95.93427;95.79508;110.97990;110.39919;110.39919;1.13086;-0.39978;5.80723;3.08668;-0.56808;-36.73323;-73.08263;1030.53320;993.97137;0.00000;1009.91528;-36.50000;-73.00000;2355.98413;204.09863;-8.93415;43.18671;-167.37149;-61.75159;11.54336;0.38252;0.03314;12.68501;611.67065;591.52020;554.70184;561.06055;11.26089;13.43767;30.04400;28.62588;16.21453;16.48614;0.59820;0.61509;22.44552;-13.70052;-2.93208;3.15184;3.13598;1.74467
91.52558;94.59843;0.01093;0.01072;0.00320;1.00000;1.00000;94.75002;92.92015;94.05296;94.01323;109.03638;108.23422;108.23422;0.84533;-0.33907;5.86523;1.66547;-0.44519;-36.73280;-73.08257;1037.41870;999.50128;0.00000;1020.59467;-36.50000;-73.00000;2125.93188;184.84380;-11.87264;15.63237;-93.15865;22.75304;11.50124;0.35919;0.03123;16.55588;557.64142;542.74030;500.26151;505.42184;7.96108;9.90811;26.56474;25.52744;14.28831;14.48538;0.56013;0.57140;10.32968;-10.17808;2.15774;2.83458;2.94179;1.67068
93.95062;96.88984;0.01064;0.01069;0.00332;1.00000;1.00000;92.99206;91.46359;92.58108;92.57932;107.01335;106.54041;106.54041;1.10518;-0.15917;5.87988;-0.35291;-0.40476;-36.73236;-73.08252;1039.19641;999.97687;0.00000;1027.13599;-36.50000;-73.00000;2158.93628;184.32562;-8.63011;-16.78485;-51.25658;34.50568;11.71262;0.37647;0.03214;1.66621;554.89252;545.71167;513.22760;518.32910;10.82755;11.46941;27.13673;26.48049;14.95915;15.18572;0.55059;0.55583;3.91129;-2.73319;2.61881;2.69725;2.78002;1.52374
88.54644;84.04067;0.01129;0.01056;0.00350;1.00000;1.00000;91.54330;90.32474;91.42413;91.37617;105.34615;105.20901;105.20900;1.59205;0.32489;5.91332;-1.85587;-0.25422;-36.73194;-73.08247;1036.07727;996.66766;0.00000;1028.80200;-36.50000;-73.00000;2296.33569;194.23613;8.69623;-40.14443;-84.43838;-44.63535;11.82239;0.41059;0.03473;10.32132;568.26752;569.91144;553.06915;558.15045;17.38267;13.58222;29.17492;29.32992;16.85003;17.11178;0.57577;0.54656;4.68230;4.70652;-3.95833;2.65298;2.64543;1.40305
90.62988;75.79202;0.01103;0.00704;0.00385;1.00000;1.00000;90.20212;89.32015;90.39733;90.28574;103.80275;104.02740;104.02740;2.11228;0.24512;5.94421;-2.84743;-0.04128;-36.73146;-73.08241;1028.57068;988.95099;0.00000;1025.23657;-36.50000;-73.00000;2453.93457;205.42976;4.50026;0.00961;-74.35506;2.31512;11.94537;0.44870;0.03756;58.00150;595.60010;596.98016;598.42346;599.64362;21.45724;18.52437;32.29149;32.39455;19.28267;19.33631;0.60198;0.57387;7.23488;7.13262;-0.91965;2.62844;2.62584;1.34359
94.04034;91.25754;0.01063;0.01070;0.00310;1.00000;1.00000;89.32555;88.71421;89.77362;89.65189;102.79401;103.30964;103.30965;2.53095;0.11280;5.86492;-2.98415;-0.00557;-36.73104;-73.08235;1020.65015;980.84357;0.00000;1018.93329;-36.50000;-73.00000;2589.38306;218.47546;0.85517;33.88231;-100.94303;24.09709;11.85205;0.47996;0.04050;4.18882;619.82635;620.17139;636.37787;634.24780;24.24738;22.90351;35.07373;35.09589;21.48022;21.36470;0.62704;0.61153;10.18536;10.10702;0.95867;2.63247;2.63091;1.30860
