"  _Vind,_kias ","   _Vind,_keas ","   Vtrue,_ktas ","   Vtrue,_ktgs ","   _Vind,__mph ","   Vtrue,mphas ","   Vtrue,mphgs ","   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __lat,__deg ","   __lon,__deg ","   __alt,ftmsl ","   __alt,ftagl ","   ___on,runwy ","   __alt,__ind ","   __lat,orign ","   __lon,orign ","   wing1,_lift ","   wing1,_lift ","   wing2,_lift ","   wing2,_lift ","   wing3,_lift ","   wing3,_lift ","   wing1,_drag ","   wing1,_drag ","   wing2,_drag ","   wing2,_drag ","   wing3,_drag ","   wing3,_drag ", 
99.99854,100.03273,101.20947,101.20947,115.07626,116.46978,116.46977,0.91637,-1.22049,5.52009,0.00002,-0.84577,-36.4912,-73.05304,1008.6723,1005.89532,0,999.521,-36.5,-73,686.68347,639.64301,590.48926,595.35791,5.55861,16.97263,33.23217,29.93034,16.99348,17.16082,0.66179,0.72133, 
99.99892,100.03269,101.20943,101.20944,115.0767,116.46974,116.46975,0.91628,-1.22089,5.51992,0.00011,-0.84585,-36.49097,-73.05302,1008.67242,1005.90753,0,999.52081,-36.5,-73,686.67957,639.6344,590.47821,595.34302,5.5545,16.97468,33.23171,29.92953,16.99306,17.16024,0.66179,0.72135, 
99.99921,100.03267,101.20941,101.20942,115.07703,116.46971,116.46972,0.91625,-1.22098,5.51975,0.00013,-0.84595,-36.49074,-73.05299,1008.67255,1005.91895,0,999.5202,-36.5,-73,686.67651,639.63135,590.47089,595.34009,5.5532,16.97511,33.2314,29.92926,16.99277,17.16014,0.66179,0.72135, 
99.99937,100.03266,101.2094,101.20939,115.07723,116.4697,116.46969,0.91622,-1.22069,5.51957,0.00012,-0.84601,-36.49051,-73.05296,1008.67279,1005.93036,0,999.52026,-36.5,-73,686.66705,639.62964,590.466,595.33679,5.55433,16.97311,33.23072,29.92917,16.99257,17.16002,0.66179,0.72133, 
99.99956,100.03265,101.20937,101.20937,115.07744,116.46967,116.46967,0.91623,-1.22037,5.51945,0.00009,-0.84598,-36.49028,-73.05293,1008.67291,1005.9411,0,999.52032,-36.5,-73,686.6673,639.63043,590.46716,595.33929,5.55722,16.97042,33.23077,29.92931,16.99261,17.16011,0.66179,0.72131, 
99.9996,100.03263,101.20936,101.20935,115.07749,116.46965,116.46964,0.91619,-1.22025,5.51932,0.00007,-0.84593,-36.49005,-73.0529,1008.67303,1005.95148,0,999.52295,-36.5,-73,686.65485,639.62579,590.46289,595.33313,5.55698,16.96963,33.22997,29.92903,16.99244,17.15987,0.66179,0.7213, 
99.9996,100.0326,101.20933,101.20934,115.07749,116.46962,116.46963,0.91621,-1.22024,5.51922,0.00001,-0.84588,-36.48982,-73.05288,1008.6731,1005.96173,0,999.52216,-36.5,-73,686.65527,639.62451,590.46436,595.33655,5.55754,16.96947,33.23012,29.92905,16.99251,17.16001,0.66178,0.7213, 
99.99942,100.02345,101.20007,101.20007,115.07728,116.45897,116.45897,0.91575,-1.2187,5.51906,-0.00053,-0.8464,-36.48958,-73.05285,1008.67297,1005.97144,0,999.52277,-36.5,-73,686.05865,639.61267,590.04034,595.47827,5.50758,17.00466,33.19134,29.93038,16.97698,17.16669,0.66129,0.72098, 
99.99171,99.95352,101.12931,101.1293,115.06841,116.37754,116.37753,0.91613,-1.19208,5.51981,-0.00907,-0.8478,-36.48935,-73.05282,1008.6673,1005.9754,0,999.52344,-36.5,-73,683.39404,638.67108,589.05853,595.03918,5.5472,16.92515,33.04561,29.90377,16.94536,17.15931,0.65912,0.71774, 
99.95411,99.80319,100.97717,100.97716,115.02514,116.20246,116.20246,0.92614,-1.11778,5.52536,-0.03178,-0.84209,-36.48911,-73.05279,1008.638,1005.95538,0,999.51929,-36.5,-73,679.48206,637.32001,588.47388,594.98724,6.0097,16.59583,32.8689,29.90524,16.93777,17.17801,0.65615,0.71095, 
