  _Vind,_kias ;   _Vind,_keas ;   Vtrue,_ktas ;   Vtrue,_ktgs ;   _Vind,__mph ;   Vtrue,mphas ;   Vtrue,mphgs ;   SLprs,_inHG ;   SLtmp,_degC ;   _wind,speed ;   _wind,__dir ;   __trb,_locl ;   _prec,_locl ;   _hail,_locl ;   __lat,__deg ;   __lon,__deg ;   __alt,ftmsl ;   __alt,ftagl ;   ___on,runwy ;   __alt,__ind ;   __lat,orign ;   __lon,orign ;   __L/D,ratio ;   ___cl,total ;   ___cd,total ;   __L/D,*etaP ;   wing1,_lift ;   wing1,_lift ;   wing2,_lift ;   wing2,_lift ;   wing3,_lift ;   wing3,_lift ;   wing1,_drag ;   wing1,_drag ;   wing2,_drag ;   wing2,_drag ;   wing3,_drag ;   wing3,_drag ; 
-21;0.09981;0.0999;0.09975;-24.16637;0.11496;0.11496;29.92;15;0;0;0;0;0;-36.78184;-73.06846;56.88172;-0.00043;1;-9.14857;-36.5;-73;20.54092;-2.0884;-0.10167;0.09218;-0.00192;-0.00222;-0.00022;-0.00035;-0.00035;-0.00041;0.00092;0.00122;0.00106;0.0019;0.00007;0.00009; 
-21;0.11054;0.11063;0.11063;-24.16637;0.12731;0.12731;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.15072;0.26997;1;25.69604;-36.5;-73;4.58831;903.58411;196.93176;0.02833;3.96584;2.81863;-0.00019;-0.00047;0.0914;-0.06704;0.10881;0.0692;0.00006;0.00008;0.00474;0.00457; 
-21;0.03293;0.03296;0.03295;-24.16637;0.03793;0.03793;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14366;0.2626;1;43.02579;-36.5;-73;12.07897;9156.39063;758.04407;0.02375;4.98247;3.42413;-0.00007;-0.00007;0.13644;-0.0882;0.1372;0.08369;0;0;0.00601;0.00573; 
-21;0.0028;0.00281;0.00281;-24.16637;0.00323;0.00323;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14363;0.26257;1;47.0618;-36.5;-73;11.95255;1419762.375;118783.1875;0.00205;5.27578;3.60493;0;0;0.14491;-0.09708;0.14575;0.08819;0;0;0.00635;0.00606; 
-21;0.00017;0.00017;0.00017;-24.16637;0.0002;0.0002;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14409;0.26307;1;47.83334;-36.5;-73;11.66018;376136416;32258196;0.00012;5.40037;3.69152;0;0;0.14825;-0.09932;0.14917;0.09031;0;0;0.0065;0.0062; 
-21;0.00012;0.00012;0.00012;-24.16637;0.00014;0.00014;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14399;0.26297;1;47.96751;-36.5;-73;11.92313;733975232;61558920;0.00009;5.46099;3.7254;0;0;0.15068;-0.10114;0.15094;0.09114;0;0;0.00657;0.00627; 
-21;0.00011;0.00011;0.00011;-24.16637;0.00013;0.00013;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14405;0.26303;1;47.98947;-36.5;-73;11.26134;925568896;82189976;0.00008;5.477;3.73451;0;0;0.1513;-0.10165;0.1514;0.09136;0;0;0.00659;0.00629; 
-21;0.00011;0.00011;0.00011;-24.16637;0.00013;0.00013;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.144;0.26297;1;47.99304;-36.5;-73;13.30245;957312576;71965112;0.00009;5.49113;3.74745;0;0;0.15135;-0.10155;0.15175;0.09168;0;0;0.00661;0.00631; 
-21;0.00019;0.0002;0.00019;-24.16637;0.00022;0.00022;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14409;0.26307;1;47.99364;-36.5;-73;11.97676;313591328;26183328;0.00015;5.49388;3.74492;0;0;0.15189;-0.10207;0.15188;0.09161;0;0;0.00661;0.00631; 
-21;0.00004;0.00004;0.00004;-24.16637;0.00005;0.00005;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14403;0.26301;1;47.99385;-36.5;-73;13.14418;5701114368;433736832;0.00004;5.49826;3.74094;0;0;0.15266;-0.10285;0.1521;0.09152;0;0;0.00662;0.00631; 
-21;0.0002;0.0002;0.0002;-24.16637;0.00023;0.00023;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14398;0.26296;1;47.9938;-36.5;-73;12.78822;269749760;21093614;0.00016;5.49062;3.7451;0;0;0.15156;-0.10172;0.15177;0.09162;0;0;0.00661;0.00631; 
-21;0.00027;0.00027;0.00027;-24.16637;0.00031;0.00031;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.144;0.26297;1;47.99367;-36.5;-73;11.15122;158128192;14180355;0.00019;5.50211;3.75089;0;0;0.15205;-0.10215;0.15211;0.09176;0;0;0.00662;0.00632; 
-21;0.00015;0.00015;0.00015;-24.16637;0.00018;0.00018;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14404;0.26302;1;47.99374;-36.5;-73;10.49532;493369120;47008488;0.0001;5.49975;3.75192;0;0;0.15172;-0.10187;0.15201;0.09179;0;0;0.00662;0.00632; 
-21;0.00007;0.00007;0.00007;-24.16637;0.00008;0.00008;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14403;0.26301;1;47.99358;-36.5;-73;12.27461;2108993792;171817632;0.00006;5.50405;3.75093;0;0;0.15223;-0.10234;0.15218;0.09176;0;0;0.00662;0.00632; 
-21;0.00004;0.00004;0.00004;-24.16637;0.00005;0.00005;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14405;0.26302;1;47.99353;-36.5;-73;12.28424;7062045696;574886656;0.00003;5.50203;3.74238;0;0;0.15288;-0.10305;0.15221;0.09155;0;0;0.00662;0.00632; 
-21;0.00028;0.00028;0.00028;-24.16637;0.00032;0.00032;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14404;0.26301;1;47.99359;-36.5;-73;10.81813;155278064;14353507;0.00019;5.49446;3.73755;0;0;0.15266;-0.10285;0.152;0.09143;0;0;0.00661;0.00631; 
-21;0.00066;0.00066;0.00066;-24.16637;0.00076;0.00076;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14406;0.26302;1;47.99372;-36.5;-73;10.85142;26380272;2431042.5;0.00044;5.48035;3.73878;0;0;0.15116;-0.10152;0.15148;0.09146;0;0;0.00659;0.00629; 
-21;0.00019;0.00019;0.00019;-24.16637;0.00022;0.00022;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.144;0.26298;1;47.99363;-36.5;-73;12.17739;301884992;24790618;0.00015;5.48814;3.74694;0;0;0.15112;-0.10133;0.15165;0.09166;0;0;0.0066;0.0063; 
-21;0.00011;0.00011;0.00011;-24.16637;0.00013;0.00013;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14406;0.26304;1;47.99377;-36.5;-73;12.52758;988551296;78910000;0.00008;5.49851;3.75342;0;0;0.15146;-0.10159;0.15194;0.09182;0;0;0.00662;0.00632; 
-21;0.00011;0.00011;0.00011;-24.16637;0.00013;0.00013;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14402;0.263;1;47.99384;-36.5;-73;10.10677;881407232;87209608;0.00007;5.5117;3.7542;0;0;0.15264;-0.10268;0.15242;0.09184;0;0;0.00663;0.00633; 
-21;0.00031;0.00031;0.00031;-24.16637;0.00036;0.00036;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.144;0.26297;1;47.99393;-36.5;-73;11.58916;117086488;10103105;0.00022;5.50586;3.75382;0;0;0.15214;-0.10218;0.15221;0.09183;0;0;0.00663;0.00632; 
-21;0.00064;0.00064;0.00064;-24.16637;0.00074;0.00074;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14401;0.26299;1;47.99386;-36.5;-73;10.70077;28286286;2643388.75;0.00042;5.49967;3.7611;0;0;0.15079;-0.10094;0.15189;0.09201;0;0;0.00662;0.00632; 
-21;0.00015;0.00015;0.00015;-24.16637;0.00017;0.00017;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14396;0.26293;1;47.99385;-36.5;-73;10.93363;545436224;49886124;0.0001;5.51863;3.75757;0;0;0.15294;-0.10297;0.15262;0.09192;0;0;0.00664;0.00634; 
-21;0.00003;0.00003;0.00003;-24.16637;0.00003;0.00003;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14402;0.263;1;47.99371;-36.5;-73;12.18998;9989999616;1225225344;0.00002;5.50687;3.75247;0;0;0.15235;-0.10243;0.15226;0.0918;0;0;0.00663;0.00632; 
-21;0.00016;0.00016;0.00016;-24.16637;0.00018;0.00018;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14402;0.263;1;47.99378;-36.5;-73;11.45729;449426656;39226268;0.00011;5.50373;3.75205;0;0;0.1521;-0.10219;0.15215;0.09179;0;0;0.00662;0.00632; 
-21;0.00047;0.00047;0.00047;-24.16637;0.00054;0.00054;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14407;0.26305;1;47.99383;-36.5;-73;11.18209;48168556;4307654;0.00034;5.50346;3.74191;0;0;0.15313;-0.10319;0.15228;0.09154;0;0;0.00662;0.00632; 
-21;0.00021;0.00021;0.00021;-24.16637;0.00025;0.00025;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14399;0.26296;1;47.99382;-36.5;-73;12.55161;241548048;19244386;0.00017;5.49339;3.7418;0;0;0.15214;-0.10231;0.15191;0.09154;0;0;0.00661;0.00631; 
-21;0.00008;0.00008;0.00008;-24.16637;0.00009;0.00009;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14408;0.26306;1;47.9938;-36.5;-73;13.08207;1811090304;138440640;0.00007;5.48874;3.74281;0;0;0.15159;-0.10183;0.15172;0.09156;0;0;0.00661;0.0063; 
-21;0.00005;0.00005;0.00005;-24.16637;0.00006;0.00006;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14403;0.26301;1;47.99376;-36.5;-73;12.0451;4200683776;348746400;0.00004;5.4978;3.75019;0;0;0.15172;-0.10186;0.15196;0.09174;0;0;0.00662;0.00631; 
-21;0.00061;0.00061;0.00061;-24.16637;0.0007;0.0007;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14404;0.26302;1;47.99374;-36.5;-73;10.6607;31532602;2957835.75;0.0004;5.49705;3.7583;0;0;0.15082;-0.10099;0.15183;0.09194;0;0;0.00662;0.00631; 
-21;0.0003;0.0003;0.0003;-24.16637;0.00035;0.00035;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14397;0.26295;1;47.99374;-36.5;-73;11.43692;119117632;10415184;0.00022;5.51644;3.76224;0;0;0.1523;-0.10226;0.15249;0.09204;0;0;0.00664;0.00633; 
-21;0.00009;0.00009;0.00009;-24.16637;0.00011;0.00011;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14409;0.26307;1;47.99372;-36.5;-73;12.49606;1401977472;112193576;0.00007;5.51224;3.75837;0;0;0.15228;-0.1023;0.15238;0.09194;0;0;0.00663;0.00633; 
-21;0.00041;0.00041;0.00041;-24.16637;0.00047;0.00047;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14408;0.26306;1;47.99391;-36.5;-73;10.91362;69117040;6333102;0.00028;5.50598;3.75412;0;0;0.15209;-0.10221;0.15221;0.09184;0;0;0.00663;0.00632; 
-21;0.00007;0.00007;0.00007;-24.16637;0.00008;0.00008;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14409;0.26307;1;47.99377;-36.5;-73;12.68702;2258585856;178023344;0.00006;5.49905;3.75138;0;0;0.15173;-0.10185;0.15199;0.09177;0;0;0.00662;0.00632; 
-21;0.00017;0.00017;0.00017;-24.16637;0.0002;0.0002;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14399;0.26296;1;47.99388;-36.5;-73;11.94159;388476064;32531346;0.00013;5.49889;3.76097;0;0;0.15078;-0.10085;0.15186;0.092;0;0;0.00662;0.00632; 
-21;0.00021;0.00021;0.00021;-24.16637;0.00024;0.00024;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14401;0.26297;1;47.99395;-36.5;-73;12.67079;268801792;21214294;0.00016;5.51662;3.76656;0;0;0.15189;-0.10187;0.15243;0.09214;0;0;0.00664;0.00634; 
-21;0.00015;0.00015;0.00015;-24.16637;0.00017;0.00017;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14408;0.26306;1;47.99382;-36.5;-73;12.55604;539230400;42945916;0.00011;5.51798;3.76922;0;0;0.15175;-0.1017;0.15245;0.09221;0;0;0.00664;0.00634; 
-21;0.01898;0.019;0.01899;-24.16637;0.02186;0.02186;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14388;0.26286;1;47.9939;-36.5;-73;10.78738;30965.11914;2870.49561;0.01262;5.53157;3.78338;0.00002;0.00006;0.1519;-0.10221;0.15286;0.09259;0;0;0.00666;0.00636; 
-21;0.16435;0.16449;0.16447;-24.16637;0.18929;0.18929;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.14281;0.26219;1;47.99366;-36.5;-73;10.43642;514.10266;49.26045;0.06928;6.64392;4.58384;0.00139;0.00319;0.18112;-0.12102;0.1835;0.11231;0.00003;0.00007;0.008;0.00764; 
-20.8631;0.44838;0.44875;0.44871;-24.00883;0.51641;0.51641;29.92;15;0;0;0;0;0;-36.78184;-73.06846;57.1405;0.26272;1;47.99207;-36.5;-73;10.98417;79.54981;7.24222;0.21369;8.09693;5.55069;0.01203;0.01428;0.22767;-0.14625;0.22413;0.13607;0.00025;0.0003;0.00975;0.00929; 
