  _Vind,_kias ;   _Vind,_keas ;   Vtrue,_ktas ;   Vtrue,_ktgs ;   _Vind,__mph ;   Vtrue,mphas ;   Vtrue,mphgs ;   __lat,__deg ;   __lon,__deg ;   __alt,ftmsl ;   __alt,ftagl ;   ___on,runwy ;   __alt,__ind ;   __lat,orign ;   __lon,orign ;   __L/D,ratio ;   ___cl,total ;   ___cd,total ;   __L/D,*etaP ;   wing1,_lift ;   wing1,_lift ;   wing2,_lift ;   wing2,_lift ;   wing3,_lift ;   wing3,_lift ;   wing1,_drag ;   wing1,_drag ;   wing2,_drag ;   wing2,_drag ;   wing3,_drag ;   wing3,_drag ; 
-21;64.0783;65.01082;65.00949;-24.16637;74.81312;74.8131;-36.82716;-73.09485;978.99524;952.02808;0;-9.12409;-36.5;-73;10.33556;0.27858;0.02695;91.98357;223.45204;223.31248;195.42697;190.85175;0.17138;0.14265;9.7046;9.69716;5.33601;5.1944;0.25525;0.25525; 
28.92816;66.07734;67.03299;66.81411;33.28993;77.14019;77.14018;-36.82688;-73.09468;972.94891;945.98132;0;577.89307;-36.5;-73;11.35552;0.56753;0.04998;9.84595;416.3439;394.80185;409.30368;411.3967;17.29684;20.9362;25.97545;23.78444;15.4619;15.36002;0.40578;0.4766; 
57.34147;68.0207;68.993;68.61972;65.98739;79.39574;79.39573;-36.8266;-73.09451;961.73096;934.76324;1;876.06702;-36.5;-73;11.00794;0.59426;0.05398;9.13236;467.27298;433.73758;459.41299;459.43457;15.17098;30.14957;30.52705;26.90638;18.16474;17.97224;0.39002;0.66187; 
65.78639;70.02794;71.01531;70.56477;75.70563;81.72297;81.72297;-36.8263;-73.09435;948.74451;921.78717;0;935.77087;-36.5;-73;11.19682;0.58652;0.05238;9.27288;485.77325;453.71191;477.1026;478.64789;16.9522;28.98515;31.18775;27.91347;18.45136;18.55664;0.42413;0.6369; 
69.49282;71.95988;72.95992;72.53944;79.97091;83.96078;83.96078;-36.826;-73.09418;935.21594;908.26959;0;936.49323;-36.5;-73;11.29598;0.58418;0.05172;9.3983;505.78705;479.79617;501.29486;503.64426;20.71661;27.07172;32.20795;29.59587;19.316;19.43133;0.484;0.60283; 
71.68185;73.64685;74.65643;74.31387;82.49;85.91309;85.91309;-36.82569;-73.09401;922.59015;895.65436;0;925.70502;-36.5;-73;11.34206;0.55743;0.04915;9.48906;510.03613;482.13095;500.12021;501.9491;18.48741;26.93037;31.54348;28.76425;18.59821;18.598;0.46462;0.60519; 
73.421;75.15236;76.16947;75.8799;84.49138;87.65427;87.65426;-36.82537;-73.09383;910.93463;884.00885;0;913.52777;-36.5;-73;11.39363;0.52905;0.04643;9.57585;510.08511;479.27005;492.75946;494.63635;15.76338;26.38032;30.525;27.58776;17.57926;17.6197;0.44557;0.60088; 
74.94578;76.52258;77.54581;77.28779;86.24606;89.23812;89.23811;-36.82504;-73.09367;900.06848;873.1521;0;901.9967;-36.5;-73;11.45996;0.50668;0.04421;9.66797;509.6857;480.10013;487.80865;490.15121;15.26202;24.14401;29.6025;26.91881;16.83014;16.92446;0.45203;0.57223; 
76.36266;77.80725;78.83549;78.599;87.87658;90.72227;90.72227;-36.82471;-73.09349;889.60699;862.70258;0;891.0437;-36.5;-73;11.47469;0.4885;0.04257;9.71083;510.89343;482.07294;485.0163;487.55939;14.57649;22.58536;28.97758;26.43653;16.31263;16.39805;0.45655;0.55758; 
77.66304;78.98817;80.0201;79.80006;89.37303;92.08548;92.08548;-36.82438;-73.09332;879.49457;852.60168;0;880.57007;-36.5;-73;11.45679;0.4729;0.04128;10.54871;512.82953;483.48828;482.69467;485.9834;13.08159;22.10738;28.53035;25.99516;15.88078;16.00259;0.45425;0.55804; 
