tiempo_s,angulo_deg,pulsos_raw
0.00,0.00,0
0.02,0.00,0
0.04,0.00,0
0.06,0.00,0
0.08,0.00,0
0.10,0.00,0
0.12,0.00,0
0.14,0.00,0
0.16,0.00,0
0.18,0.00,0
0.20,0.00,0
0.22,0.00,0
0.24,0.00,0
0.26,0.00,0
0.28,0.00,0
0.30,0.00,0
0.32,0.00,0
0.34,0.00,0
0.36,0.00,0
0.38,0.00,0
0.40,0.00,0
0.42,0.00,0
0.44,0.00,0
0.46,0.00,0
0.48,0.00,0
0.50,0.00,0
0.52,0.00,0
0.54,0.00,0
0.56,0.00,0
0.58,0.00,0
0.60,0.00,0
0.62,0.00,0
0.64,0.00,0
0.66,0.00,0
0.68,0.00,0
0.70,0.00,0
0.72,0.00,0
0.74,0.00,0
0.76,0.00,0
0.78,0.00,0
0.80,0.00,0
0.82,0.00,0
0.84,0.00,0
0.86,0.00,0
0.88,0.00,0
0.90,0.00,0
0.92,0.00,0
0.94,0.00,0
0.96,0.00,0
0.98,0.00,0
1.00,0.00,0
1.02,0.00,0
1.04,0.00,0
1.06,0.00,0
1.08,0.00,0
1.10,0.00,0
1.12,0.00,0
1.14,0.00,0
1.16,0.00,0
1.18,0.00,0
1.20,0.00,0
1.22,0.00,0
1.24,0.00,0
1.26,0.00,0
1.28,0.00,0
1.30,0.00,0
1.32,0.00,0
1.34,0.00,0
1.36,0.00,0
1.38,0.00,0
1.40,0.00,0
1.42,0.00,0
1.44,0.00,0
1.46,0.00,0
1.48,0.00,0
1.50,0.00,0
1.52,0.00,0
1.54,0.00,0
1.56,0.00,0
1.58,0.00,0
1.60,0.00,0
1.62,0.00,0
1.64,0.00,0
1.66,0.00,0
1.68,0.00,0
1.70,0.00,0
1.72,0.00,0
1.74,0.00,0
1.76,0.00,0
1.78,0.00,0
1.80,0.00,0
1.82,0.00,0
1.84,0.00,0
1.86,0.00,0
1.88,0.00,0
1.90,0.00,0
1.92,0.00,0
1.94,0.00,0
1.96,0.00,0
1.98,0.00,0
2.00,-0.36,-1
2.02,-0.36,-1
2.04,-0.72,-2
2.06,-1.08,-3
2.08,-1.80,-5
2.10,-2.52,-7
2.12,-3.96,-11
2.14,-5.04,-14
2.16,-6.48,-18
2.18,-7.92,-22
2.20,-9.72,-27
2.22,-11.16,-31
2.24,-12.96,-36
2.26,-14.76,-41
2.28,-16.20,-45
2.30,-18.00,-50
2.32,-19.80,-55
2.34,-21.24,-59
2.36,-23.04,-64
2.38,-24.84,-69
2.40,-26.64,-74
2.42,-28.08,-78
2.44,-29.88,-83
2.46,-30.96,-86
2.48,-32.40,-90
2.50,-33.84,-94
2.52,-35.64,-99
2.54,-37.08,-103
2.56,-38.52,-107
2.58,-39.60,-110
2.60,-40.68,-113
2.62,-42.12,-117
2.64,-43.20,-120
2.66,-44.28,-123
2.68,-45.36,-126
2.70,-46.44,-129
2.72,-47.52,-132
2.74,-48.60,-135
2.76,-49.68,-138
2.78,-50.40,-140
2.80,-51.48,-143
2.82,-52.56,-146
2.84,-53.28,-148
2.86,-54.36,-151
2.88,-55.08,-153
2.90,-56.16,-156
2.92,-57.24,-159
2.94,-58.32,-162
2.96,-59.04,-164
2.98,-59.76,-166
3.00,-60.84,-169
3.02,-61.56,-171
3.04,-62.28,-173
3.06,-63.00,-175
3.08,-63.72,-177
3.10,-64.44,-179
3.12,-64.80,-180
3.14,-65.16,-181
3.16,-65.88,-183
3.18,-66.60,-185
3.20,-66.96,-186
3.22,-67.68,-188
3.24,-68.04,-189
3.26,-68.40,-190
3.28,-69.12,-192
3.30,-69.48,-193
3.32,-69.84,-194
3.34,-70.20,-195
3.36,-70.92,-197
3.38,-71.28,-198
3.40,-71.64,-199
3.42,-72.00,-200
3.44,-72.72,-202
3.46,-73.08,-203
3.48,-73.44,-204
3.50,-73.80,-205
3.52,-73.80,-205
3.54,-74.16,-206
3.56,-74.52,-207
3.58,-74.88,-208
3.60,-74.88,-208
3.62,-75.24,-209
3.64,-75.24,-209
3.66,-75.24,-209
3.68,-75.60,-210
3.70,-75.60,-210
